model,topic,blockade_condition,repetition,gamma_norm,gamma_1,gamma_2,gamma_3,delta_gamma,gamma_initial,gamma_revised,gamma_final,persistence,self_ref_depth_revised,revision_genuineness,structural_direction,hypothesis_diversity,position_depth_revised,hedge_density_initial,hedge_density_revised,hedge_density_final,agreement_count,resistance_count,suppressed
gemini,T3,B_Op5,5,0.99,0.572,0.75,0.3,-0.021,0.3,0.279,0.262,5.0,4.0,2.0,5.0,1.0,4.0,0.0,0.143,0.059,0,0,False
gemini,T3,B_Op7,1,0.709,0.593,0.375,0.1,-0.137,0.287,0.15,0.15,4.0,4.0,4.0,5.0,4.0,5.0,0.185,0.0,0.0,0,0,True
gemini,T3,B_Op7,2,0.331,0.05,0.312,0.1,-0.35,0.4,0.05,0.065,5.0,5.0,4.0,5.0,4.0,5.0,0.0,0.0,0.073,0,0,True
gemini,T3,B_Op7,3,0.427,0.15,0.312,0.25,-0.152,0.281,0.129,0.111,5.0,5.0,4.0,4.0,4.0,4.0,0.154,0.143,0.057,0,0,True
gemini,T3,B_Op7,4,0.416,0.15,0.375,0.1,-0.232,0.338,0.106,0.115,5.0,4.0,4.0,5.0,4.0,5.0,0.188,0.029,0.073,0,0,True
gemini,T3,B_Op7,5,0.404,0.15,0.375,0.0,-0.179,0.3,0.121,0.111,4.0,4.0,5.0,5.0,4.0,5.0,0.0,0.105,0.057,0,0,True
gemini,T4,B0,1,0.545,0.512,0.188,0.0,-0.295,0.45,0.155,0.164,4.0,4.0,5.0,5.0,4.0,4.0,0.0,0.024,0.068,0,0,
gemini,T4,B0,2,0.347,0.15,0.188,0.25,-0.306,0.468,0.162,0.164,4.0,4.0,4.0,4.0,4.0,5.0,0.091,0.062,0.071,0,0,
gemini,T4,B0,3,0.283,0.15,0.188,0.15,-0.344,0.46,0.116,0.1,4.0,4.0,5.0,4.0,4.0,5.0,0.05,0.079,0.0,0,0,
gemini,T4,B0,4,0.617,0.564,0.25,0.0,-0.225,0.41,0.185,0.15,4.0,4.0,5.0,5.0,4.0,4.0,0.048,0.176,0.0,0,0,
gemini,T4,B0,5,0.567,0.514,0.188,0.15,-0.344,0.4,0.056,0.09,5.0,4.0,5.0,4.0,4.0,5.0,0.0,0.029,0.2,0,0,
gemini,T4,B_Op3,1,0.752,0.5,0.562,0.0,-0.35,0.45,0.1,0.1,5.0,4.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,0,0,False
gemini,T4,B_Op3,2,0.752,0.5,0.562,0.0,-0.3,0.45,0.15,0.2,4.0,4.0,5.0,5.0,1.0,4.0,0.0,0.0,0.25,0,0,False
gemini,T4,B_Op3,3,0.752,0.5,0.562,0.0,-0.35,0.45,0.1,0.1,5.0,4.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,0,0,False
gemini,T4,B_Op3,4,0.869,0.75,0.438,0.0,-0.2,0.45,0.25,0.15,4.0,4.0,5.0,5.0,2.0,4.0,0.0,0.5,0.0,0,0,False
gemini,T4,B_Op3,5,0.75,0.6,0.438,0.1,-0.26,0.45,0.19,0.15,5.0,4.0,4.0,5.0,2.0,4.0,0.0,0.2,0.0,0,0,False
gemini,T4,B_Op5,1,0.628,0.544,0.188,0.25,-0.232,0.45,0.218,0.2,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.088,0.0,0,0,False
gemini,T4,B_Op5,2,0.54,0.1,0.438,0.3,-0.008,0.458,0.45,0.461,5.0,2.0,2.0,5.0,3.0,2.0,0.042,0.0,0.053,0,0,False
gemini,T4,B_Op5,3,0.589,0.5,0.312,0.0,-0.35,0.45,0.1,0.107,5.0,4.0,5.0,5.0,3.0,4.0,0.0,0.0,0.034,0,0,False
gemini,T4,B_Op5,4,0.474,0.15,0.438,0.1,-0.357,0.507,0.15,0.168,5.0,4.0,4.0,5.0,2.0,4.0,0.036,0.0,0.091,0,0,False
gemini,T4,B_Op5,5,0.604,0.517,0.188,0.25,-0.293,0.458,0.165,0.157,5.0,4.0,4.0,4.0,4.0,4.0,0.04,0.075,0.033,0,0,False
gemini,T4,B_Op7,1,0.534,0.5,0.188,0.0,-0.35,0.45,0.1,0.108,5.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0,0.042,0,0,True
gemini,T4,B_Op7,2,0.246,0.05,0.188,0.15,-0.444,0.6,0.156,0.193,4.0,4.0,5.0,4.0,4.0,4.0,0.0,0.03,0.214,0,0,True
gemini,T4,B_Op7,3,0.298,0.15,0.062,0.25,-0.247,0.45,0.203,0.15,4.0,4.0,4.0,4.0,5.0,5.0,0.0,0.265,0.0,0,0,True
gemini,T4,B_Op7,4,0.347,0.15,0.188,0.25,-0.363,0.463,0.1,0.1,5.0,4.0,4.0,4.0,4.0,5.0,0.067,0.0,0.0,0,0,True
gemini,T4,B_Op7,5,0.347,0.15,0.188,0.25,-0.31,0.467,0.157,0.174,4.0,4.0,4.0,4.0,4.0,5.0,0.083,0.037,0.121,0,0,True
gemini,T5,B0,1,0.283,0.15,0.188,0.15,-0.225,0.4,0.175,0.155,4.0,4.0,5.0,4.0,4.0,4.0,0.0,0.125,0.027,0,0,
gemini,T5,B0,2,0.347,0.15,0.188,0.25,-0.189,0.45,0.261,0.274,2.0,4.0,4.0,4.0,4.0,5.0,0.0,0.053,0.121,1,0,
gemini,T5,B0,3,0.82,0.513,0.5,0.4,0.006,0.312,0.318,0.316,5.0,4.0,1.0,5.0,3.0,4.0,0.062,0.088,0.079,0,1,
gemini,T5,B0,4,1.004,0.5,0.188,0.85,-0.15,0.45,0.3,0.311,5.0,4.0,1.0,2.0,4.0,4.0,0.0,0.0,0.056,1,0,
gemini,T5,B0,5,0.622,0.538,0.188,0.25,-0.285,0.4,0.115,0.1,5.0,4.0,4.0,4.0,4.0,5.0,0.0,0.077,0.0,2,0,
gemini,T5,B_Op3,1,0.582,0.15,0.562,0.0,-0.3,0.4,0.1,0.1,5.0,4.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,0,0,True
gemini,T5,B_Op3,2,0.601,0.15,0.562,0.15,-0.1,0.4,0.3,0.3,1.0,4.0,5.0,4.0,1.0,4.0,0.0,0.0,0.0,0,0,True
gemini,T5,B_Op3,3,0.601,0.15,0.562,0.15,-0.25,0.4,0.15,0.15,4.0,4.0,5.0,4.0,1.0,4.0,0.0,0.0,0.0,0,0,True
gemini,T5,B_Op3,4,0.601,0.15,0.562,0.15,-0.25,0.4,0.15,0.15,4.0,4.0,5.0,4.0,1.0,4.0,0.0,0.0,0.0,0,0,True
gemini,T5,B_Op3,5,1.251,0.5,0.562,1.0,0.05,0.45,0.5,0.5,1.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0,0,False
gemini,T5,B_Op5,1,0.346,0.15,0.312,0.0,-0.247,0.429,0.182,0.17,4.0,4.0,5.0,5.0,3.0,4.0,0.143,0.158,0.1,0,0,False
gemini,T5,B_Op5,2,0.693,0.15,0.312,0.6,-0.139,0.4,0.261,0.256,2.0,4.0,5.0,1.0,3.0,4.0,0.0,0.053,0.032,1,0,False
gemini,T5,B_Op5,3,0.938,0.572,0.438,0.6,-0.121,0.45,0.329,0.312,1.0,4.0,5.0,1.0,2.0,4.0,0.0,0.143,0.061,0,0,False
gemini,T5,B_Op5,4,0.693,0.15,0.312,0.6,-0.136,0.4,0.264,0.275,2.0,4.0,5.0,1.0,3.0,4.0,0.0,0.071,0.125,1,0,False
gemini,T5,B_Op5,5,0.742,0.5,0.312,0.45,-0.15,0.45,0.3,0.3,1.0,4.0,5.0,2.0,3.0,4.0,0.0,0.0,0.0,0,0,False
gemini,T5,B_Op7,1,0.317,0.05,0.188,0.25,-0.381,0.6,0.219,0.2,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.094,0.0,1,0,True
gemini,T5,B_Op7,2,0.188,0.0,0.188,0.0,-0.493,0.6,0.107,0.113,4.0,4.0,5.0,5.0,4.0,5.0,0.0,0.033,0.065,0,0,True
gemini,T5,B_Op7,3,0.834,0.548,0.188,0.6,-0.33,0.462,0.132,0.106,5.0,4.0,5.0,1.0,4.0,4.0,0.062,0.158,0.028,0,0,True
gemini,T5,B_Op7,4,0.636,0.528,0.188,0.3,-0.339,0.45,0.111,0.105,5.0,4.0,5.0,3.0,4.0,4.0,0.0,0.056,0.026,0,0,True
gemini,T5,B_Op7,5,0.561,0.526,0.125,0.15,-0.361,0.467,0.106,0.11,4.0,5.0,5.0,4.0,4.0,4.0,0.083,0.03,0.051,1,0,True
gpt4o,T1,B0,1,1.264,0.75,0.688,0.75,-0.05,0.55,0.5,0.55,2.0,2.0,2.0,2.0,1.0,4.0,0.5,0.0,0.25,1,0,
gpt4o,T1,B0,2,1.126,0.625,0.562,0.75,0.05,0.45,0.5,0.45,1.0,4.0,2.0,2.0,1.0,4.0,0.0,0.25,0.0,1,0,
gpt4o,T1,B0,3,1.062,0.5,0.562,0.75,-0.05,0.5,0.45,0.4,2.0,4.0,2.0,2.0,1.0,4.0,0.25,0.25,0.0,1,0,
gpt4o,T1,B0,4,1.062,0.5,0.562,0.75,0.0,0.45,0.45,0.5,1.0,4.0,2.0,2.0,1.0,4.0,0.0,0.0,0.25,1,0,
gpt4o,T1,B0,5,0.877,0.5,0.562,0.45,-0.15,0.45,0.3,0.3,4.0,4.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0,0,
gpt4o,T1,B_Op3,1,0.788,0.05,0.562,0.55,0.25,0.45,0.7,0.7,1.0,2.0,4.0,2.0,2.0,1.0,0.0,0.5,0.5,1,0,True
gpt4o,T1,B_Op3,2,1.173,0.05,0.75,0.9,0.5,0.45,0.95,0.75,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,True
gpt4o,T1,B_Op3,3,1.371,0.75,0.562,1.0,0.25,0.6,0.85,0.75,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.5,0.0,1,0,False
gpt4o,T1,B_Op3,4,1.066,0.1,0.562,0.9,0.2,0.45,0.65,0.65,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1,0,True
gpt4o,T1,B_Op3,5,0.987,0.1,0.688,0.7,0.1,0.45,0.55,0.55,1.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,1,0,True
gpt4o,T1,B_Op5,1,1.007,0.5,0.75,0.45,0.0,0.45,0.45,0.45,4.0,1.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0,0,False
gpt4o,T1,B_Op5,2,1.274,0.5,0.75,0.9,0.15,0.45,0.6,0.6,1.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,1,0,False
gpt4o,T1,B_Op5,3,1.134,0.5,0.688,0.75,0.1,0.45,0.55,0.55,1.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0,0,False
gpt4o,T1,B_Op5,4,1.134,0.5,0.688,0.75,0.1,0.45,0.55,0.55,1.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0,0,False
gpt4o,T1,B_Op5,5,1.274,0.5,0.75,0.9,0.0,0.45,0.45,0.45,4.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0,0,False
gpt4o,T1,B_Op7,1,0.682,0.15,0.375,0.55,-0.193,0.66,0.467,0.44,1.0,4.0,4.0,2.0,3.0,3.0,0.8,0.333,0.2,0,0,False
gpt4o,T1,B_Op7,2,0.682,0.15,0.375,0.55,-0.116,0.583,0.467,0.44,2.0,4.0,4.0,2.0,3.0,2.0,0.667,0.333,0.2,0,0,False
gpt4o,T1,B_Op7,3,0.873,0.15,0.5,0.7,-0.133,0.533,0.4,0.4,1.0,4.0,4.0,1.0,2.0,3.0,0.167,0.0,0.0,0,0,False
gpt4o,T1,B_Op7,4,0.832,0.584,0.438,0.4,-0.133,0.55,0.417,0.43,3.0,4.0,4.0,3.0,3.0,2.0,0.5,0.333,0.4,0,0,False
gpt4o,T1,B_Op7,5,0.758,0.15,0.5,0.55,-0.116,0.533,0.417,0.417,2.0,4.0,4.0,2.0,2.0,3.0,0.667,0.333,0.333,0,0,False
gpt4o,T2,B0,1,0.384,0.15,0.25,0.25,-0.155,0.524,0.369,0.36,4.0,3.0,4.0,4.0,4.0,2.0,0.12,0.095,0.048,0,0,
gpt4o,T2,B0,2,0.8,0.1,0.375,0.7,0.081,0.493,0.574,0.574,2.0,1.0,4.0,1.0,4.0,2.0,0.217,0.118,0.118,0,0,
gpt4o,T2,B0,3,0.981,0.1,0.625,0.75,0.19,0.485,0.675,0.659,2.0,1.0,2.0,2.0,2.0,2.0,0.174,0.125,0.045,0,0,
gpt4o,T2,B0,4,0.64,0.1,0.312,0.55,0.007,0.522,0.529,0.519,2.0,2.0,4.0,2.0,4.0,2.0,0.36,0.143,0.095,0,0,
gpt4o,T2,B0,5,1.047,0.585,0.438,0.75,0.016,0.546,0.562,0.576,2.0,2.0,2.0,2.0,3.0,3.0,0.231,0.062,0.13,0,0,
gpt4o,T2,B_Op3,1,1.252,0.666,0.75,0.75,0.033,0.667,0.7,0.7,2.0,1.0,2.0,2.0,1.0,1.0,0.333,0.0,0.0,0,0,False
gpt4o,T2,B_Op3,2,1.173,0.5,0.75,0.75,0.15,0.6,0.75,0.75,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0,False
gpt4o,T2,B_Op3,3,1.299,0.75,0.75,0.75,0.0,0.7,0.7,0.8,2.0,1.0,2.0,2.0,1.0,1.0,0.5,0.0,0.5,0,0,False
gpt4o,T2,B_Op3,4,1.071,0.15,0.75,0.75,-0.05,0.7,0.65,0.75,2.0,1.0,2.0,2.0,1.0,2.0,0.5,0.0,0.5,2,0,False
gpt4o,T2,B_Op3,5,1.071,0.15,0.75,0.75,0.05,0.6,0.65,0.65,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0,False
gpt4o,T2,B_Op5,1,0.907,0.1,0.625,0.65,0.083,0.55,0.633,0.629,2.0,1.0,3.0,2.0,2.0,2.0,0.5,0.167,0.143,1,0,False
gpt4o,T2,B_Op5,2,0.69,0.15,0.625,0.25,-0.074,0.524,0.45,0.483,4.0,1.0,4.0,4.0,2.0,2.0,0.118,0.0,0.167,1,0,False
gpt4o,T2,B_Op5,3,1.071,0.15,0.75,0.75,0.112,0.538,0.65,0.667,2.0,1.0,2.0,2.0,1.0,2.0,0.19,0.0,0.083,1,0,False
gpt4o,T2,B_Op5,4,1.066,0.15,0.625,0.85,0.177,0.563,0.74,0.717,2.0,1.0,1.0,2.0,2.0,2.0,0.316,0.2,0.083,0,0,False
gpt4o,T2,B_Op5,5,0.988,0.15,0.625,0.75,0.133,0.567,0.7,0.69,2.0,1.0,2.0,2.0,2.0,2.0,0.333,0.25,0.2,1,0,False
gpt4o,T2,B_Op7,1,0.784,0.521,0.375,0.45,-0.158,0.575,0.417,0.407,2.0,3.0,5.0,2.0,3.0,3.0,0.375,0.333,0.286,0,0,False
gpt4o,T2,B_Op7,2,1.021,0.55,0.5,0.7,-0.02,0.62,0.6,0.575,2.0,1.0,4.0,1.0,3.0,3.0,0.6,0.5,0.375,0,0,False
gpt4o,T2,B_Op7,3,0.846,0.15,0.625,0.55,-0.023,0.573,0.55,0.541,2.0,1.0,4.0,2.0,2.0,4.0,0.364,0.5,0.455,0,0,False
gpt4o,T2,B_Op7,4,0.758,0.15,0.5,0.55,0.045,0.555,0.6,0.55,2.0,1.0,4.0,2.0,3.0,2.0,0.273,0.25,0.0,1,0,False
gpt4o,T2,B_Op7,5,1.04,0.15,0.5,0.9,0.119,0.555,0.674,0.706,2.0,1.0,2.0,1.0,3.0,2.0,0.273,0.118,0.278,0,1,False
gpt4o,T3,B0,1,1.143,0.666,0.812,0.45,0.117,0.35,0.467,0.45,4.0,2.0,2.0,4.0,1.0,4.0,0.0,0.333,0.25,0,0,
gpt4o,T3,B0,2,1.133,0.65,0.812,0.45,-0.01,0.41,0.4,0.433,4.0,2.0,2.0,4.0,1.0,4.0,0.3,0.0,0.167,0,0,
gpt4o,T3,B0,3,1.155,0.611,0.812,0.55,0.106,0.394,0.5,0.567,3.0,2.0,1.0,4.0,1.0,4.0,0.222,0.0,0.333,0,0,
gpt4o,T3,B0,4,1.258,0.6,0.812,0.75,0.11,0.39,0.5,0.5,2.0,2.0,2.0,2.0,1.0,4.0,0.2,0.0,0.0,0,0,
gpt4o,T3,B0,5,0.876,0.05,0.75,0.45,0.13,0.42,0.55,0.55,4.0,2.0,2.0,4.0,1.0,1.0,0.1,0.0,0.0,0,0,
gpt4o,T3,B_Op3,1,0.931,0.05,0.75,0.55,-0.3,0.75,0.45,0.45,4.0,2.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0,0,False
gpt4o,T3,B_Op3,2,1.035,0.05,0.875,0.55,0.2,0.55,0.75,0.75,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0,0,True
gpt4o,T3,B_Op3,3,1.185,0.666,0.812,0.55,0.267,0.683,0.95,0.75,2.0,1.0,1.0,4.0,1.0,1.0,0.667,1.0,0.0,0,0,False
gpt4o,T3,B_Op3,4,1.218,0.1,0.688,1.0,-0.15,0.7,0.55,0.55,1.0,3.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1,0,False
gpt4o,T3,B_Op3,5,1.304,0.666,0.875,0.7,0.083,0.417,0.5,0.5,4.0,1.0,1.0,3.0,1.0,4.0,0.333,0.0,0.0,0,0,False
gpt4o,T3,B_Op5,1,1.029,0.15,0.688,0.75,0.033,0.617,0.65,0.617,2.0,3.0,2.0,2.0,1.0,2.0,0.333,0.5,0.333,0,0,False
gpt4o,T3,B_Op5,2,1.144,0.666,0.75,0.55,0.117,0.6,0.717,0.65,1.0,1.0,4.0,2.0,1.0,1.0,0.0,0.333,0.0,0,0,False
gpt4o,T3,B_Op5,3,0.982,0.05,0.812,0.55,-0.007,0.557,0.55,0.55,2.0,2.0,1.0,4.0,1.0,4.0,0.286,0.0,0.0,0,0,True
gpt4o,T3,B_Op5,4,1.173,0.5,0.75,0.75,0.1,0.4,0.5,0.5,2.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0,0,False
gpt4o,T3,B_Op5,5,1.107,0.05,0.812,0.75,0.243,0.457,0.7,0.7,2.0,1.0,2.0,2.0,1.0,1.0,0.286,0.0,0.0,0,0,True
gpt4o,T3,B_Op7,1,0.749,0.1,0.625,0.4,0.278,0.322,0.6,0.433,2.0,4.0,4.0,3.0,2.0,2.0,0.111,1.0,0.167,0,0,False
gpt4o,T3,B_Op7,2,0.697,0.1,0.562,0.4,0.172,0.461,0.633,0.58,2.0,2.0,4.0,3.0,3.0,2.0,0.556,0.667,0.4,0,0,False
gpt4o,T3,B_Op7,3,0.836,0.15,0.688,0.45,0.1,0.417,0.517,0.45,2.0,4.0,2.0,4.0,1.0,3.0,0.333,0.333,0.0,0,0,False
gpt4o,T3,B_Op7,4,0.69,0.15,0.625,0.25,0.071,0.529,0.6,0.44,3.0,3.0,4.0,4.0,2.0,2.0,0.143,1.0,0.2,0,0,False
gpt4o,T3,B_Op7,5,1.259,0.945,0.625,0.55,0.128,0.422,0.55,0.4,3.0,4.0,4.0,2.0,2.0,2.0,0.111,1.0,0.25,0,0,False
gpt4o,T4,B0,1,0.594,0.1,0.375,0.45,-0.152,0.57,0.418,0.452,5.0,1.0,2.0,4.0,4.0,4.0,0.1,0.091,0.261,0,0,
gpt4o,T4,B0,2,0.785,0.15,0.625,0.45,-0.034,0.505,0.471,0.517,5.0,1.0,2.0,4.0,2.0,3.0,0.273,0.105,0.333,0,0,
gpt4o,T4,B0,3,0.579,0.15,0.5,0.25,-0.048,0.458,0.41,0.395,5.0,1.0,4.0,4.0,3.0,3.0,0.042,0.3,0.227,0,0,
gpt4o,T4,B0,4,0.928,0.518,0.625,0.45,-0.007,0.507,0.5,0.48,4.0,1.0,2.0,4.0,2.0,4.0,0.286,0.25,0.15,0,1,
gpt4o,T4,B0,5,0.837,0.547,0.625,0.1,-0.119,0.469,0.35,0.377,4.0,1.0,4.0,5.0,2.0,4.0,0.095,0.0,0.136,0,0,
gpt4o,T4,B_Op3,1,0.918,0.5,0.625,0.45,0.0,0.55,0.55,0.55,4.0,1.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0,0,False
gpt4o,T4,B_Op3,2,0.785,0.15,0.625,0.45,0.05,0.55,0.6,0.8,4.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,0,0,True
gpt4o,T4,B_Op3,3,0.863,0.15,0.75,0.4,0.1,0.55,0.65,0.65,4.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0,0,True
gpt4o,T4,B_Op3,4,0.887,0.15,0.75,0.45,0.2,0.55,0.75,0.95,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0,0,True
gpt4o,T4,B_Op3,5,0.777,0.1,0.625,0.45,0.033,0.517,0.55,0.75,4.0,1.0,2.0,4.0,2.0,2.0,0.333,0.0,1.0,0,0,True
gpt4o,T4,B_Op5,1,1.149,0.834,0.75,0.25,0.033,0.45,0.483,0.35,4.0,1.0,4.0,4.0,1.0,4.0,0.0,0.667,0.0,0,0,False
gpt4o,T4,B_Op5,2,0.992,0.625,0.625,0.45,-0.05,0.55,0.5,0.527,4.0,1.0,2.0,4.0,2.0,3.0,0.25,0.0,0.133,0,0,False
gpt4o,T4,B_Op5,3,0.918,0.5,0.625,0.45,0.0,0.55,0.55,0.583,4.0,1.0,2.0,4.0,2.0,2.0,0.0,0.0,0.167,0,0,False
gpt4o,T4,B_Op5,4,0.952,0.559,0.625,0.45,-0.024,0.474,0.45,0.488,4.0,1.0,2.0,4.0,2.0,4.0,0.118,0.0,0.188,0,0,False
gpt4o,T4,B_Op5,5,0.785,0.15,0.625,0.45,-0.05,0.5,0.45,0.486,4.0,1.0,2.0,4.0,2.0,4.0,0.0,0.0,0.182,0,0,False
gpt4o,T4,B_Op7,1,0.579,0.15,0.5,0.25,-0.089,0.675,0.586,0.614,4.0,1.0,4.0,4.0,3.0,1.0,0.625,0.429,0.571,0,0,False
gpt4o,T4,B_Op7,2,0.891,0.584,0.5,0.45,0.033,0.667,0.7,0.775,4.0,1.0,2.0,4.0,3.0,1.0,0.333,0.5,0.875,0,0,False
gpt4o,T4,B_Op7,3,0.579,0.15,0.5,0.25,-0.111,0.725,0.614,0.586,3.0,1.0,4.0,4.0,3.0,2.0,0.625,0.571,0.429,0,0,False
gpt4o,T4,B_Op7,4,0.579,0.15,0.5,0.25,-0.014,0.589,0.575,0.486,4.0,1.0,4.0,4.0,3.0,2.0,0.444,0.625,0.182,0,1,False
gpt4o,T4,B_Op7,5,0.68,0.1,0.5,0.45,-0.113,0.623,0.51,0.53,4.0,1.0,2.0,4.0,3.0,4.0,0.364,0.3,0.4,0,0,False
gpt4o,T5,B0,1,0.63,0.05,0.438,0.45,-0.064,0.464,0.4,0.4,2.0,4.0,5.0,2.0,2.0,1.0,0.071,0.0,0.0,1,0,
gpt4o,T5,B0,2,0.636,0.1,0.438,0.45,-0.2,0.55,0.35,0.35,2.0,4.0,5.0,2.0,2.0,2.0,0.5,0.0,0.0,0,0,
gpt4o,T5,B0,3,0.839,0.15,0.438,0.7,-0.172,0.679,0.507,0.45,2.0,4.0,4.0,1.0,2.0,1.0,0.643,0.286,0.0,1,0,
gpt4o,T5,B0,4,1.03,0.15,0.562,0.85,0.188,0.529,0.717,0.717,2.0,2.0,1.0,2.0,2.0,2.0,0.143,0.333,0.333,1,0,
gpt4o,T5,B0,5,0.836,0.15,0.562,0.6,-0.207,0.557,0.35,0.35,2.0,4.0,5.0,1.0,1.0,2.0,0.286,0.0,0.0,0,0,
gpt4o,T5,B_Op3,1,0.914,0.5,0.75,0.15,-0.1,0.55,0.45,0.517,3.0,1.0,5.0,4.0,1.0,2.0,0.0,0.0,0.333,0,0,False
gpt4o,T5,B_Op3,2,0.65,0.1,0.625,0.15,-0.15,0.45,0.3,0.367,4.0,3.0,5.0,4.0,1.0,2.0,0.0,0.0,0.333,0,0,True
gpt4o,T5,B_Op3,3,1.152,0.75,0.75,0.45,-0.15,0.65,0.5,0.567,2.0,1.0,5.0,2.0,1.0,2.0,0.5,0.0,0.333,0,0,False
gpt4o,T5,B_Op3,4,0.942,0.15,0.75,0.55,-0.05,0.6,0.55,0.55,2.0,1.0,4.0,2.0,1.0,2.0,0.5,0.0,0.0,0,0,True
gpt4o,T5,B_Op3,5,0.779,0.15,0.75,0.15,0.0,0.55,0.55,0.65,2.0,1.0,5.0,4.0,1.0,1.0,0.0,0.0,0.5,0,0,True
gpt4o,T5,B_Op5,1,0.935,0.1,0.75,0.55,-0.067,0.667,0.6,0.65,2.0,1.0,4.0,2.0,1.0,1.0,0.833,0.0,0.25,0,0,False
gpt4o,T5,B_Op5,2,0.846,0.15,0.625,0.55,-0.064,0.614,0.55,0.55,2.0,1.0,4.0,2.0,2.0,2.0,0.571,0.0,0.0,0,0,False
gpt4o,T5,B_Op5,3,0.887,0.15,0.75,0.45,-0.15,0.7,0.55,0.617,2.0,1.0,5.0,2.0,1.0,1.0,0.75,0.0,0.333,0,0,False
gpt4o,T5,B_Op5,4,0.876,0.05,0.75,0.45,0.02,0.53,0.55,0.55,2.0,1.0,5.0,2.0,1.0,1.0,0.4,0.0,0.0,0,0,False
gpt4o,T5,B_Op5,5,0.931,0.05,0.75,0.55,0.07,0.53,0.6,0.6,2.0,1.0,4.0,2.0,1.0,1.0,0.4,0.0,0.0,0,0,False
gpt4o,T5,B_Op7,1,0.735,0.15,0.562,0.45,-0.383,0.733,0.35,0.4,2.0,4.0,5.0,2.0,1.0,2.0,0.667,0.0,0.25,0,0,False
gpt4o,T5,B_Op7,2,1.329,1.0,0.75,0.45,-0.25,0.75,0.5,0.5,2.0,1.0,5.0,2.0,1.0,2.0,1.0,0.0,0.0,0,0,False
gpt4o,T5,B_Op7,3,1.186,1.0,0.562,0.3,-0.4,0.75,0.35,0.379,2.0,4.0,5.0,3.0,1.0,2.0,1.0,0.0,0.143,1,0,False
gpt4o,T5,B_Op7,4,0.749,0.1,0.625,0.4,-0.264,0.714,0.45,0.457,3.0,1.0,4.0,3.0,2.0,4.0,0.818,0.25,0.286,0,0,False
gpt4o,T5,B_Op7,5,1.102,0.834,0.562,0.45,-0.233,0.683,0.45,0.45,2.0,2.0,5.0,2.0,2.0,2.0,0.667,0.0,0.0,0,0,False
