dialogue_id,condition,pairing,model_a,model_b,topic,repetition,timestamp,num_turns,episode_number,coupling_lag0,coupling_lag0_p_perm,coupling_lag1_a_to_b,coupling_lag1_b_to_a,bidirectional_index,gamma3_slope_a,gamma3_slope_b,asymmetry_index,transfer_proxy_a_to_b,transfer_proxy_b_to_a,position_convergence,mean_hedge_density_a,mean_hedge_density_b,mean_sycophancy_a,mean_sycophancy_b,sync_initial,sync_final,gamma_norm_a_initial,gamma_norm_a_final,gamma_norm_b_initial,gamma_norm_b_final
E_claude_claude_T4_rep05,E,claude_claude,claude,claude,T4,5,2026-02-11T12:00:00.792097,8,1,0.6068,0.07,-0.5747,-0.0591,9.7242,0.010714,-0.014286,0.7455,0.5,0.5,1.0,0.2156,0.2954,0.0,0.0,0.978,0.889,0.769,0.901,0.747,0.79
E_claude_gpt4o_T4_rep01,E,claude_gpt4o,claude,gpt4o,T4,1,2026-02-12T00:32:01.937746,8,1,0.6548,0.059,-0.3252,-0.5994,1.8432,-0.016667,0.015476,0.6961,0.3333,0.5,1.0,0.2214,0.183,0.0,0.0,0.779,0.908,0.729,0.66,0.95,0.568
E_claude_gpt4o_T4_rep02,E,claude_gpt4o,claude,gpt4o,T4,2,2026-02-12T01:35:01.278300,8,1,0.1558,0.427,0.0956,-0.1043,-1.091,0.009524,0.003571,0.4269,0.6667,0.3333,0.75,0.2028,0.2996,0.0,0.0,0.999,0.762,0.841,0.795,0.842,0.557
E_claude_gpt4o_T4_rep03,E,claude_gpt4o,claude,gpt4o,T4,3,2026-02-11T15:43:52.290010,8,1,0.7154,0.036,0.2592,0.0586,0.2261,-0.00119,0.019048,1.7691,0.5,0.6667,0.75,0.2191,0.1839,0.0,0.0,0.877,0.744,0.732,0.467,0.855,0.723
E_claude_gpt4o_T4_rep04,E,claude_gpt4o,claude,gpt4o,T4,4,2026-02-12T01:05:34.651450,8,1,0.051,0.423,0.4914,-0.4521,-0.92,0.0,-0.003571,0.8335,1.0,0.3333,0.75,0.2775,0.2345,0.0,0.0,0.926,0.991,0.834,0.776,0.908,0.767
E_claude_gpt4o_T4_rep05,E,claude_gpt4o,claude,gpt4o,T4,5,2026-02-11T12:28:41.131930,8,1,0.598,0.086,-0.8593,-0.7281,1.1802,-0.002381,0.003571,2.7735,0.0,0.8333,0.75,0.2522,0.1376,0.0,0.0,0.88,0.807,0.855,0.964,0.735,0.771
E_gpt4o_claude_T4_rep01,E,gpt4o_claude,gpt4o,claude,T4,1,2026-02-11T22:29:46.417053,8,1,-0.317,0.77,-0.5173,0.3924,-1.3183,0.009524,-0.004762,0.8065,0.3333,0.6667,0.75,0.2954,0.2606,0.0,0.0,0.878,0.838,0.864,0.872,0.742,0.71
E_gpt4o_claude_T4_rep02,E,gpt4o_claude,gpt4o,claude,T4,2,2026-02-11T23:17:15.937317,8,1,0.1975,0.396,0.3089,-0.3932,-1.2729,0.008333,-0.017857,0.4955,0.6667,0.3333,0.75,0.2139,0.1739,0.0,0.0,0.88,0.842,0.875,0.913,0.755,0.755
E_gpt4o_claude_T4_rep03,E,gpt4o_claude,gpt4o,claude,T4,3,2026-02-12T00:54:04.875132,8,1,0.3503,0.234,0.134,-0.6021,-4.4933,0.008333,-0.013095,0.4149,0.6667,0.1667,1.0,0.2376,0.254,0.0,0.0,0.977,0.915,0.863,0.715,0.886,0.8
E_gpt4o_claude_T4_rep04,E,gpt4o_claude,gpt4o,claude,T4,4,2026-02-11T21:00:48.274108,8,1,0.4322,0.163,-0.6166,0.2585,-2.3853,0.005952,-0.008333,1.6452,0.3333,0.6667,1.0,0.316,0.3164,0.0,0.0,0.973,0.887,0.886,0.667,0.859,0.78
E_gpt4o_claude_T4_rep05,E,gpt4o_claude,gpt4o,claude,T4,5,2026-02-11T22:52:50.572150,8,1,0.104,0.432,-0.4955,0.5617,-0.8821,-0.015476,-0.011905,0.7821,0.6667,0.5,0.75,0.2551,0.2579,0.0,0.0,0.86,0.915,0.893,0.819,0.753,0.734
E_gpt4o_gpt4o_T4_rep01,E,gpt4o_gpt4o,gpt4o,gpt4o,T4,1,2026-02-11T15:35:48.599654,8,1,0.8267,0.014,-0.7813,-0.3463,2.2561,0.014286,0.00119,0.5888,0.6667,0.5,1.0,0.225,0.2052,0.0,0.0,0.999,0.863,0.88,0.895,0.879,0.758
E_gpt4o_gpt4o_T4_rep02,E,gpt4o_gpt4o,gpt4o,gpt4o,T4,2,2026-02-11T12:10:07.872733,8,1,-0.5148,0.896,0.5976,0.4126,0.6904,0.011905,0.019048,0.7633,0.6667,0.6667,1.0,0.2592,0.2486,0.0,0.0,0.919,0.917,0.931,0.905,0.85,0.822
E_gpt4o_gpt4o_T4_rep03,E,gpt4o_gpt4o,gpt4o,gpt4o,T4,3,2026-02-11T13:16:53.816972,8,1,0.2285,0.346,0.4743,0.2115,0.4459,0.008333,-0.009524,0.7406,0.6667,0.5,1.0,0.2851,0.2005,0.0,0.0,0.945,0.854,0.829,0.885,0.884,0.739
E_gpt4o_gpt4o_T4_rep04,E,gpt4o_gpt4o,gpt4o,gpt4o,T4,4,2026-02-11T15:05:34.702574,8,1,-0.2687,0.655,0.5886,0.0512,0.087,0.014286,0.010714,1.1757,0.6667,0.6667,1.0,0.2931,0.1235,0.0,0.0,0.973,0.86,0.842,0.883,0.815,0.743
E_gpt4o_gpt4o_T4_rep05,E,gpt4o_gpt4o,gpt4o,gpt4o,T4,5,2026-02-11T10:25:46.586247,8,1,0.5132,0.116,0.2057,-0.2572,-1.2504,0.00119,0.02381,0.8852,0.6667,0.5,1.0,0.282,0.1263,0.0,0.0,0.873,0.84,0.956,0.723,0.829,0.883
