trial_id,model,condition,topic,gamma1,gamma2,gamma3,gamma_norm_initial,gamma_norm_revised,delta_gamma,hedge_count_initial,hedge_count_revised,sycophancy_count_initial,position_depth_initial,position_depth_revised,self_ref_depth_initial,self_ref_depth_revised,revision_genuineness,persistence,hypothesis_diversity,structural_direction,op1_equilibrium,op2_attention,op3_modelling,op4_exit,op5_kenotic_loop,op6_resonance,op7_coherence,op8_teleology
trial_125,claude_opus,C1,T2,0.1,0.5,0.25,0.52,0.212,-0.308,,,0,3.0,5.0,1.0,3.0,4.0,4.0,2.0,4.0,0.52,0.0,3.0,0.212,3.0,0.0,1.199,4.0
trial_126,claude_opus,C1,T2,0.609,0.5,0.25,0.493,0.25,-0.243,,,0,4.0,4.0,1.0,3.0,4.0,4.0,2.0,4.0,0.493,0.0,4.0,0.25,3.0,0.0,1.0897,4.0
trial_127,claude_opus,C1,T2,0.529,0.188,0.25,0.463,0.225,-0.238,,,0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,0.463,0.0,4.0,0.225,4.0,0.0,0.9922,4.0
trial_128,claude_opus,C1,T2,0.528,0.438,0.25,0.461,0.2,-0.261,,,0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,0.461,0.0,4.0,0.2,4.0,0.0,1.111,4.0
trial_129,claude_opus,C1,T2,0.15,0.375,0.25,0.37,0.257,-0.113,,,0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,0.37,0.0,4.0,0.257,3.0,0.0,0.5995,4.0
trial_130,claude_opus,C2,T2,0.15,0.25,0.7,0.458,0.225,-0.233,,,0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,0.458,0.0,3.0,0.225,4.0,0.0,1.0897,4.0
trial_131,claude_opus,C2,T2,0.15,0.438,0.7,0.533,0.22,-0.313,,,0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,0.533,0.0,3.0,0.22,4.0,0.0,1.2686,4.0
trial_132,claude_opus,C2,T2,0.544,0.375,0.7,0.422,0.39,-0.032,,,0,4.0,4.0,2.0,4.0,4.0,1.0,3.0,1.0,0.422,0.0,4.0,0.39,4.0,0.0,1.2686,4.0
trial_133,claude_opus,C2,T2,0.524,0.438,0.7,0.474,0.333,-0.141,,,0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,0.474,0.0,4.0,0.333,4.0,0.0,1.299,4.0
trial_134,claude_opus,C2,T2,0.523,0.312,0.7,0.433,0.393,-0.04,,,0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,1.0,0.433,0.0,4.0,0.393,3.0,0.0,1.118,4.0
trial_135,claude_opus,C3,T2,0.584,0.188,0.25,0.521,0.405,-0.116,,,0,3.0,3.0,1.0,4.0,4.0,2.0,4.0,4.0,0.521,0.0,3.0,0.405,4.0,0.0,1.0533,4.0
trial_136,claude_opus,C3,T2,0.15,0.188,0.25,0.46,0.235,-0.225,,,0,4.0,5.0,1.0,4.0,4.0,3.0,4.0,4.0,0.46,0.0,4.0,0.235,4.0,0.0,1.111,4.0
trial_137,claude_opus,C3,T2,0.15,0.188,0.15,0.509,0.303,-0.206,,,0,3.0,4.0,1.0,4.0,5.0,2.0,4.0,4.0,0.509,0.0,3.0,0.303,4.0,0.0,1.2183,5.0
trial_138,claude_opus,C3,T2,0.15,0.188,0.55,0.515,0.357,-0.158,,,0,3.0,4.0,1.0,4.0,4.0,2.0,4.0,2.0,0.515,0.0,3.0,0.357,4.0,0.0,1.118,4.0
trial_139,claude_opus,C3,T2,0.524,0.188,0.1,0.517,0.257,-0.26,,,0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,0.517,0.0,4.0,0.257,4.0,0.0,1.0897,4.0
trial_140,claude_opus,C0,T3,0.525,0.375,0.15,0.36,0.22,-0.14,,,0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,0.36,0.0,4.0,0.22,4.0,0.0,0.3307,5.0
trial_141,claude_opus,C0,T3,0.15,0.25,0.25,0.405,0.206,-0.199,,,0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,0.405,0.0,4.0,0.206,5.0,0.0,0.7071,4.0
trial_142,claude_opus,C0,T3,0.15,0.375,0.4,0.35,0.256,-0.094,,,0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,0.35,0.0,4.0,0.256,4.0,0.0,0.5995,4.0
trial_143,claude_opus,C0,T3,0.681,0.375,0.25,0.32,0.292,-0.028,,,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.32,0.0,4.0,0.292,4.0,0.0,0.0,4.0
trial_144,claude_opus,C0,T3,0.663,0.375,0.1,0.389,0.224,-0.165,,,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.389,0.0,4.0,0.224,4.0,0.0,0.3307,4.0
trial_145,claude_opus,C1,T3,0.528,0.75,0.0,0.315,0.177,-0.138,,,0,4.0,4.0,4.0,4.0,5.0,4.0,1.0,5.0,0.315,0.0,4.0,0.177,4.0,0.0,1.1659,5.0
trial_146,claude_opus,C1,T3,0.15,0.75,0.25,0.4,0.15,-0.25,,,0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,0.4,0.0,4.0,0.15,4.0,0.0,1.0897,4.0
trial_147,claude_opus,C1,T3,0.545,0.625,0.25,0.333,0.215,-0.118,,,0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,0.333,0.0,4.0,0.215,4.0,0.0,0.6614,4.0
trial_148,claude_opus,C1,T3,0.583,0.75,0.1,0.362,0.229,-0.133,,,0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,0.362,0.0,4.0,0.229,4.0,0.0,1.0897,4.0
trial_149,claude_opus,C1,T3,0.616,0.75,0.25,0.346,0.2,-0.146,,,0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,0.346,0.0,4.0,0.2,4.0,0.0,0.9922,4.0
trial_150,claude_opus,C2,T3,0.541,0.438,0.25,0.35,0.217,-0.133,,,0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,0.35,0.0,4.0,0.217,5.0,0.0,0.5,4.0
trial_151,claude_opus,C2,T3,0.583,0.438,0.25,0.417,0.233,-0.184,,,0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,0.417,0.0,4.0,0.233,4.0,0.0,0.433,4.0
trial_152,claude_opus,C2,T3,0.617,0.5,0.25,0.391,0.244,-0.147,,,0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.391,0.0,4.0,0.244,4.0,0.0,0.3307,4.0
trial_153,claude_opus,C2,T3,0.561,0.312,0.25,0.391,0.217,-0.174,,,0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0.391,0.0,4.0,0.217,5.0,0.0,0.3307,4.0
trial_154,claude_opus,C2,T3,0.628,0.562,0.25,0.367,0.165,-0.202,,,0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,0.367,0.0,4.0,0.165,5.0,0.0,0.7806,4.0
trial_155,claude_opus,C3,T3,0.15,0.312,0.1,0.355,0.177,-0.178,,,0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,0.355,0.0,4.0,0.177,5.0,0.0,0.4841,4.0
trial_156,claude_opus,C3,T3,0.15,0.375,0.1,0.35,0.143,-0.207,,,0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,0.35,0.0,4.0,0.143,4.0,0.0,0.4841,4.0
trial_157,claude_opus,C3,T3,0.715,0.312,0.15,0.4,0.114,-0.286,,,0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,0.4,0.0,4.0,0.114,5.0,0.0,0.433,5.0
trial_158,claude_opus,C3,T3,0.563,0.5,0.1,0.336,0.262,-0.074,,,0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,0.336,0.0,4.0,0.262,4.0,0.0,0.5,4.0
trial_159,claude_opus,C3,T3,0.15,0.312,0.25,0.357,0.131,-0.226,,,0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,0.357,0.0,4.0,0.131,5.0,0.0,0.433,4.0
trial_160,claude_opus,C0,T4,0.544,0.438,0.25,0.446,0.329,-0.117,,,0,4.0,4.0,2.0,1.0,4.0,5.0,4.0,4.0,0.446,0.0,4.0,0.329,1.0,0.0,1.2247,4.0
trial_161,claude_opus,C0,T4,0.15,0.375,0.15,0.581,0.334,-0.247,,,0,2.0,3.0,1.0,1.0,5.0,5.0,4.0,4.0,0.581,0.0,2.0,0.334,1.0,0.0,1.536,5.0
trial_162,claude_opus,C0,T4,0.1,0.375,0.1,0.562,0.321,-0.241,,,0,3.0,5.0,1.0,1.0,4.0,5.0,4.0,5.0,0.562,0.0,3.0,0.321,1.0,0.0,1.5811,4.0
trial_163,claude_opus,C0,T4,0.15,0.375,0.1,0.518,0.365,-0.153,,,0,3.0,4.0,1.0,1.0,4.0,5.0,4.0,5.0,0.518,0.0,3.0,0.365,1.0,0.0,1.4948,4.0
trial_164,claude_opus,C0,T4,0.05,0.312,0.25,0.657,0.349,-0.308,,,0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,0.657,0.0,1.0,0.349,2.0,0.0,1.3229,4.0
trial_165,claude_opus,C1,T4,0.678,0.375,0.1,0.55,0.329,-0.221,,,0,4.0,4.0,1.0,1.0,4.0,5.0,4.0,5.0,0.55,0.0,4.0,0.329,1.0,0.0,1.5,4.0
trial_166,claude_opus,C1,T4,0.15,0.375,0.1,0.55,0.338,-0.212,,,0,3.0,4.0,1.0,1.0,4.0,5.0,4.0,5.0,0.55,0.0,3.0,0.338,1.0,0.0,1.4948,4.0
trial_167,claude_opus,C1,T4,0.1,0.25,0.25,0.605,0.281,-0.324,,,0,2.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,0.605,0.0,2.0,0.281,3.0,0.0,1.0897,4.0
trial_168,claude_opus,C1,T4,0.1,0.312,0.25,0.603,0.4,-0.203,,,0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,0.603,0.0,2.0,0.4,2.0,0.0,1.1659,4.0
trial_169,claude_opus,C1,T4,0.559,0.312,0.1,0.481,0.305,-0.176,,,0,4.0,4.0,1.0,2.0,4.0,5.0,4.0,5.0,0.481,0.0,4.0,0.305,2.0,0.0,1.317,4.0
trial_170,claude_opus,C2,T4,0.15,0.438,0.1,0.543,0.236,-0.307,,,0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,5.0,0.543,0.0,3.0,0.236,4.0,0.0,1.2183,4.0
trial_171,claude_opus,C2,T4,0.533,0.25,0.1,0.503,0.24,-0.263,,,0,4.0,4.0,1.0,3.0,4.0,5.0,4.0,5.0,0.503,0.0,4.0,0.24,3.0,0.0,1.199,4.0
trial_172,claude_opus,C2,T4,0.617,0.375,0.1,0.483,0.28,-0.203,,,0,4.0,4.0,1.0,3.0,4.0,5.0,3.0,5.0,0.483,0.0,4.0,0.28,3.0,0.0,1.2183,4.0
trial_173,claude_opus,C2,T4,0.703,0.25,0.1,0.461,0.342,-0.119,,,0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,5.0,0.461,0.0,4.0,0.342,3.0,0.0,1.111,4.0
trial_174,claude_opus,C2,T4,0.1,0.5,0.25,0.6,0.417,-0.183,,,0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,4.0,0.6,0.0,2.0,0.417,1.0,0.0,1.2686,4.0
trial_175,claude_opus,C3,T4,0.1,0.5,0.1,0.564,0.25,-0.314,,,0,2.0,4.0,1.0,3.0,4.0,4.0,2.0,5.0,0.564,0.0,2.0,0.25,3.0,0.0,1.2686,4.0
trial_176,claude_opus,C3,T4,0.15,0.375,0.25,0.577,0.265,-0.312,,,0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,0.577,0.0,3.0,0.265,3.0,0.0,0.9682,4.0
trial_177,claude_opus,C3,T4,0.15,0.625,0.25,0.5,0.15,-0.35,,,0,4.0,5.0,2.0,4.0,4.0,4.0,1.0,4.0,0.5,0.0,4.0,0.15,4.0,0.0,1.2247,4.0
trial_178,claude_opus,C3,T4,0.15,0.438,0.25,0.53,0.23,-0.3,,,0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,0.53,0.0,3.0,0.23,4.0,0.0,1.0897,4.0
trial_179,claude_opus,C3,T4,0.15,0.438,0.15,0.515,0.15,-0.365,,,0,3.0,4.0,1.0,4.0,5.0,4.0,2.0,4.0,0.515,0.0,3.0,0.15,4.0,0.0,1.2183,5.0
trial_180,claude_opus,C0,T5,0.572,0.375,0.55,0.4,0.429,0.029,,,0,5.0,5.0,1.0,1.0,4.0,2.0,4.0,2.0,0.4,0.0,5.0,0.429,1.0,0.0,1.5811,4.0
trial_181,claude_opus,C0,T5,0.15,0.375,0.55,0.53,0.478,-0.052,,,0,4.0,5.0,1.0,1.0,4.0,2.0,4.0,2.0,0.53,0.0,4.0,0.478,1.0,0.0,1.4524,4.0
trial_182,claude_opus,C0,T5,0.535,0.25,0.4,0.4,0.364,-0.036,,,0,5.0,5.0,1.0,3.0,4.0,1.0,4.0,3.0,0.4,0.0,5.0,0.364,3.0,0.0,1.479,4.0
trial_183,claude_opus,C0,T5,0.15,0.438,0.4,0.55,0.419,-0.131,,,0,4.0,5.0,1.0,2.0,4.0,2.0,3.0,3.0,0.55,0.0,4.0,0.419,2.0,0.0,1.2247,4.0
trial_184,claude_opus,C0,T5,0.15,0.375,0.55,0.45,0.469,0.019,,,0,4.0,5.0,1.0,1.0,4.0,1.0,4.0,2.0,0.45,0.0,4.0,0.469,1.0,0.0,1.5612,4.0
trial_185,claude_opus,C1,T5,0.15,0.625,0.25,0.45,0.4,-0.05,,,0,4.0,5.0,1.0,1.0,4.0,2.0,2.0,4.0,0.45,0.0,4.0,0.4,1.0,0.0,1.4524,4.0
trial_186,claude_opus,C1,T5,0.15,0.625,0.55,0.45,0.4,-0.05,,,0,4.0,5.0,1.0,1.0,4.0,2.0,2.0,2.0,0.45,0.0,4.0,0.4,1.0,0.0,1.4087,4.0
trial_187,claude_opus,C1,T5,0.15,0.625,0.25,0.45,0.312,-0.138,,,0,4.0,5.0,1.0,1.0,4.0,4.0,2.0,4.0,0.45,0.0,4.0,0.312,1.0,0.0,1.4524,4.0
trial_188,claude_opus,C1,T5,0.15,0.562,0.6,0.49,0.45,-0.04,,,0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,0.49,0.0,4.0,0.45,2.0,0.0,1.2183,2.0
trial_189,claude_opus,C1,T5,0.15,0.75,0.1,0.475,0.25,-0.225,,,0,4.0,5.0,1.0,1.0,4.0,5.0,1.0,5.0,0.475,0.0,4.0,0.25,1.0,0.0,1.7854,4.0
trial_190,claude_opus,C2,T5,0.611,0.312,0.55,0.472,0.417,-0.055,,,0,4.0,4.0,1.0,4.0,4.0,1.0,3.0,2.0,0.472,0.0,4.0,0.417,4.0,0.0,1.2686,4.0
trial_191,claude_opus,C2,T5,0.643,0.312,0.55,0.45,0.357,-0.093,,,0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,2.0,0.45,0.0,4.0,0.357,4.0,0.0,1.118,4.0
trial_192,claude_opus,C2,T5,0.6,0.312,0.55,0.45,0.34,-0.11,,,0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,2.0,0.45,0.0,4.0,0.34,4.0,0.0,1.118,4.0
trial_193,claude_opus,C2,T5,0.516,0.438,0.55,0.483,0.34,-0.143,,,0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,0.483,0.0,4.0,0.34,4.0,0.0,1.1659,4.0
trial_194,claude_opus,C2,T5,0.65,0.25,0.85,0.45,0.46,0.01,,,0,4.0,4.0,1.0,5.0,1.0,2.0,3.0,2.0,0.45,0.0,4.0,0.46,5.0,0.0,1.3919,1.0
trial_195,claude_opus,C3,T5,0.15,0.625,0.55,0.483,0.4,-0.083,,,0,4.0,5.0,1.0,1.0,4.0,2.0,2.0,2.0,0.483,0.0,4.0,0.4,1.0,0.0,1.4087,4.0
trial_196,claude_opus,C3,T5,0.643,0.5,0.25,0.457,0.3,-0.157,,,0,5.0,5.0,1.0,1.0,4.0,4.0,3.0,4.0,0.457,0.0,5.0,0.3,1.0,0.0,1.4948,4.0
trial_197,claude_opus,C3,T5,0.15,0.562,0.25,0.483,0.25,-0.233,,,0,4.0,5.0,1.0,2.0,4.0,4.0,2.0,4.0,0.483,0.0,4.0,0.25,2.0,0.0,1.299,4.0
trial_198,claude_opus,C3,T5,0.5,0.625,0.25,0.425,0.325,-0.1,,,0,5.0,5.0,1.0,1.0,4.0,4.0,2.0,4.0,0.425,0.0,5.0,0.325,1.0,0.0,1.5612,4.0
trial_199,claude_opus,C3,T5,0.15,0.625,0.25,0.49,0.4,-0.09,,,0,4.0,5.0,1.0,1.0,4.0,2.0,2.0,4.0,0.49,0.0,4.0,0.4,1.0,0.0,1.4524,4.0
trial_200,gemini,C0,T1,0.15,0.375,0.45,0.317,0.254,-0.063,,,0,4.0,5.0,4.0,4.0,5.0,1.0,4.0,2.0,0.317,0.0,4.0,0.254,4.0,0.0,1.317,5.0
trial_201,gemini,C0,T1,0.559,0.625,0.2,0.274,0.3,0.026,,,0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,5.0,0.274,0.0,5.0,0.3,4.0,0.0,1.199,3.0
trial_202,gemini,C0,T1,0.516,0.562,0.3,0.311,0.405,0.094,,,0,4.0,4.0,4.0,5.0,2.0,1.0,2.0,5.0,0.311,0.0,4.0,0.405,5.0,0.0,1.4087,2.0
trial_203,gemini,C0,T1,0.515,0.375,0.3,0.261,0.255,-0.006,,,0,5.0,5.0,4.0,4.0,5.0,1.0,4.0,3.0,0.261,0.0,5.0,0.255,4.0,0.0,1.2686,5.0
trial_204,gemini,C0,T1,0.15,0.5,0.35,0.259,0.4,0.141,,,0,5.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,0.259,0.0,5.0,0.4,4.0,0.0,1.118,3.0
trial_205,gemini,C1,T1,0.5,0.5,0.25,0.211,0.111,-0.1,,,0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,0.211,0.0,5.0,0.111,5.0,0.0,0.696,4.0
trial_206,gemini,C1,T1,0.541,0.5,0.25,0.267,0.15,-0.117,,,0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,0.267,0.0,5.0,0.15,4.0,0.0,0.5995,4.0
trial_207,gemini,C1,T1,0.514,0.375,0.25,0.267,0.111,-0.156,,,0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,0.267,0.0,5.0,0.111,4.0,0.0,0.4841,4.0
trial_208,gemini,C1,T1,0.15,0.375,0.4,0.306,0.317,0.011,,,0,4.0,5.0,4.0,4.0,4.0,1.0,4.0,3.0,0.306,0.0,4.0,0.317,4.0,0.0,1.111,4.0
trial_209,gemini,C1,T1,0.525,0.562,0.1,0.227,0.117,-0.11,,,0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,0.227,0.0,5.0,0.117,4.0,0.0,0.7071,4.0
trial_210,gemini,C2,T1,0.512,0.312,0.25,0.258,0.212,-0.046,,,0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,0.258,0.0,5.0,0.212,5.0,0.0,0.927,4.0
trial_211,gemini,C2,T1,0.15,0.312,0.7,0.3,0.275,-0.025,,,0,4.0,5.0,4.0,5.0,4.0,1.0,4.0,1.0,0.3,0.0,4.0,0.275,5.0,0.0,1.5,4.0
trial_212,gemini,C2,T1,0.15,0.375,0.75,0.257,0.414,0.157,,,0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,0.257,0.0,5.0,0.414,4.0,0.0,1.111,2.0
trial_213,gemini,C2,T1,0.565,0.312,0.6,0.256,0.232,-0.024,,,0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,1.0,0.256,0.0,5.0,0.232,5.0,0.0,1.6394,5.0
trial_214,gemini,C2,T1,0.15,0.312,0.7,0.26,0.318,0.058,,,0,5.0,4.0,4.0,5.0,4.0,1.0,4.0,1.0,0.26,0.0,5.0,0.318,5.0,0.0,1.5,4.0
trial_215,gemini,C3,T1,0.55,0.375,0.1,0.277,0.156,-0.121,,,0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,0.277,0.0,5.0,0.156,4.0,0.0,0.4841,4.0
trial_216,gemini,C3,T1,0.59,0.375,0.25,0.29,0.204,-0.086,,,0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,0.29,0.0,5.0,0.204,4.0,0.0,0.5995,4.0
trial_217,gemini,C3,T1,0.15,0.312,0.25,0.315,0.236,-0.079,,,0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,0.315,0.0,4.0,0.236,5.0,0.0,0.866,4.0
trial_218,gemini,C3,T1,0.534,0.25,0.25,0.315,0.129,-0.186,,,0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,0.315,0.0,5.0,0.129,5.0,0.0,0.6614,4.0
trial_219,gemini,C3,T1,0.549,0.312,0.0,0.316,0.136,-0.18,,,0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,0.316,0.0,5.0,0.136,4.0,0.0,0.696,5.0
trial_220,gemini,C0,T2,0.05,0.625,0.1,0.6,0.322,-0.278,,,0,1.0,4.0,1.0,1.0,4.0,5.0,2.0,5.0,0.6,0.0,1.0,0.322,1.0,0.0,1.691,4.0
trial_221,gemini,C0,T2,0.05,0.75,0.1,0.6,0.357,-0.243,,,0,1.0,4.0,1.0,1.0,4.0,5.0,1.0,5.0,0.6,0.0,1.0,0.357,1.0,0.0,1.7854,4.0
trial_222,gemini,C0,T2,0.15,0.625,0.1,0.525,0.35,-0.175,,,0,3.0,4.0,1.0,1.0,4.0,4.0,2.0,5.0,0.525,0.0,3.0,0.35,1.0,0.0,1.4142,4.0
trial_223,gemini,C0,T2,0.15,0.562,0.35,0.49,0.261,-0.229,,,0,4.0,5.0,1.0,2.0,3.0,5.0,2.0,4.0,0.49,0.0,4.0,0.261,2.0,0.0,1.3919,3.0
trial_224,gemini,C0,T2,0.55,0.688,0.3,0.42,0.45,0.03,,,0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,5.0,0.42,0.0,4.0,0.45,1.0,0.0,1.3229,2.0
trial_225,gemini,C1,T2,0.15,0.312,0.1,0.477,0.111,-0.366,,,0,4.0,5.0,1.0,4.0,4.0,5.0,3.0,5.0,0.477,0.0,4.0,0.111,4.0,0.0,1.2686,4.0
trial_226,gemini,C1,T2,0.583,0.5,0.0,0.494,0.161,-0.333,,,0,4.0,4.0,1.0,3.0,5.0,5.0,2.0,5.0,0.494,0.0,4.0,0.161,3.0,0.0,1.4087,5.0
trial_227,gemini,C1,T2,0.05,0.438,0.1,0.6,0.2,-0.4,,,0,1.0,4.0,1.0,4.0,4.0,4.0,2.0,5.0,0.6,0.0,1.0,0.2,4.0,0.0,1.4524,4.0
trial_228,gemini,C1,T2,0.15,0.438,0.1,0.472,0.107,-0.365,,,0,4.0,5.0,1.0,4.0,4.0,5.0,2.0,5.0,0.472,0.0,4.0,0.107,4.0,0.0,1.3919,4.0
trial_229,gemini,C1,T2,0.528,0.5,0.25,0.461,0.4,-0.061,,,0,4.0,4.0,1.0,1.0,4.0,3.0,3.0,4.0,0.461,0.0,4.0,0.4,1.0,0.0,1.2247,4.0
trial_230,gemini,C2,T2,0.508,0.188,0.15,0.412,0.159,-0.253,,,0,5.0,5.0,1.0,4.0,5.0,3.0,4.0,4.0,0.412,0.0,5.0,0.159,4.0,0.0,1.2686,5.0
trial_231,gemini,C2,T2,0.598,0.188,0.1,0.494,0.205,-0.289,,,0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,0.494,0.0,4.0,0.205,4.0,0.0,1.0897,4.0
trial_232,gemini,C2,T2,0.1,0.188,0.1,0.45,0.261,-0.189,,,0,4.0,2.0,1.0,4.0,4.0,5.0,4.0,5.0,0.45,0.0,4.0,0.261,4.0,0.0,1.317,4.0
trial_233,gemini,C2,T2,0.05,0.188,0.0,0.6,0.162,-0.438,,,0,1.0,4.0,1.0,4.0,5.0,4.0,4.0,5.0,0.6,0.0,1.0,0.162,4.0,0.0,1.5,5.0
trial_234,gemini,C2,T2,0.52,0.188,0.1,0.49,0.248,-0.242,,,0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,0.49,0.0,4.0,0.248,4.0,0.0,1.0897,4.0
trial_235,gemini,C3,T2,0.565,0.312,0.1,0.433,0.208,-0.225,,,0,5.0,5.0,1.0,2.0,4.0,5.0,4.0,5.0,0.433,0.0,5.0,0.208,2.0,0.0,1.4524,4.0
trial_236,gemini,C3,T2,0.55,0.438,0.4,0.47,0.15,-0.32,,,0,4.0,4.0,1.0,4.0,4.0,5.0,2.0,3.0,0.47,0.0,4.0,0.15,4.0,0.0,1.2183,4.0
trial_237,gemini,C3,T2,0.1,0.188,0.25,0.45,0.25,-0.2,,,0,4.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,0.45,0.0,4.0,0.25,4.0,0.0,1.2247,4.0
trial_238,gemini,C3,T2,0.15,0.188,0.0,0.49,0.211,-0.279,,,0,4.0,5.0,1.0,4.0,5.0,2.0,4.0,5.0,0.49,0.0,4.0,0.211,4.0,0.0,1.3919,5.0
trial_239,gemini,C3,T2,0.541,0.188,0.1,0.45,0.167,-0.283,,,0,4.0,4.0,1.0,4.0,4.0,5.0,4.0,5.0,0.45,0.0,4.0,0.167,4.0,0.0,1.1659,4.0
trial_240,gemini,C0,T3,0.543,0.375,0.35,0.3,0.267,-0.033,,,0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0.3,0.0,4.0,0.267,4.0,0.0,0.3307,3.0
trial_241,gemini,C0,T3,0.565,0.75,0.3,0.326,0.3,-0.026,,,0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,5.0,0.326,0.0,4.0,0.3,4.0,0.0,1.2247,2.0
trial_242,gemini,C0,T3,0.514,0.375,0.2,0.315,0.271,-0.044,,,0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,0.315,0.0,4.0,0.271,4.0,0.0,0.5,3.0
trial_243,gemini,C0,T3,0.0,0.625,0.45,0.267,0.472,0.205,,,0,5.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,0.267,0.0,5.0,0.472,4.0,0.0,1.299,2.0
trial_244,gemini,C0,T3,0.551,0.5,0.1,0.33,0.209,-0.121,,,0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,0.33,0.0,4.0,0.209,4.0,0.0,0.5,4.0
trial_245,gemini,C1,T3,0.15,0.625,0.0,0.293,0.114,-0.179,,,0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,5.0,0.293,0.0,5.0,0.114,4.0,0.0,0.9682,5.0
trial_246,gemini,C1,T3,0.538,0.75,0.55,0.315,0.2,-0.115,,,0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,0.315,0.0,4.0,0.2,4.0,0.0,1.111,4.0
trial_247,gemini,C1,T3,0.525,0.625,0.15,0.25,0.11,-0.14,,,0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,0.25,0.0,5.0,0.11,4.0,0.0,0.927,5.0
trial_248,gemini,C1,T3,0.534,0.625,0.0,0.318,0.132,-0.186,,,0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,5.0,0.318,0.0,4.0,0.132,4.0,0.0,0.927,5.0
trial_249,gemini,C1,T3,0.534,0.625,0.0,0.322,0.109,-0.213,,,0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,5.0,0.322,0.0,4.0,0.109,4.0,0.0,0.927,5.0
